"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-17 18:40:00,0,35897,6035,0,30413,0,0,0,16384
2023-03-17 18:44:00,0,33074,222040,0,25809,0,0,0,15607
2023-03-17 18:48:00,0,34417,231504,0,30743,0,0,0,15705
2023-03-17 18:52:00,0,35916,225310,0,30555,0,0,0,16830
2023-03-17 18:56:00,0,32673,229675,0,25613,0,0,0,16259
2023-03-17 19:00:00,0,34970,5851,0,29346,0,0,0,16098
2023-03-17 19:04:00,0,244471,233620,0,102303,0,0,0,15877
2023-03-17 19:08:00,0,33893,230194,0,27959,0,0,906,15580
2023-03-17 19:12:00,0,37023,229295,0,29674,0,0,0,16607
2023-03-17 19:16:00,0,35424,220588,0,29216,0,0,0,16153
2023-03-17 19:20:00,0,33963,5860,0,27907,0,0,0,15662
2023-03-17 19:24:00,0,36806,230837,0,27824,0,0,0,15987
