"Time","failure","success","failure","success","failure","success"
2023-03-22 09:46:00,,0.0000363,,0.0000451,,0.0000372
2023-03-22 09:48:00,,0.0000432,,0.0000483,,0.0000456
2023-03-22 09:50:00,,0.0000464,,0.0000570,,0.0000718
2023-03-22 09:52:00,,0.0000419,,0.0000572,,0.0000388
2023-03-22 09:54:00,,0.0000485,,0.0000466,,0.0000382
2023-03-22 09:56:00,,0.0000396,,0.0000526,,0.0000512
2023-03-22 09:58:00,,0.0000389,,0.0000374,,0.0000439
2023-03-22 10:00:00,,0.0000379,,0.0000468,,0.0000367
2023-03-22 10:02:00,,0.0000493,,0.0000491,,0.0000381
2023-03-22 10:04:00,,0.0000375,,0.0000378,,0.0000538
2023-03-22 10:06:00,,0.0000911,,0.0000604,,0.0000965
